Statistical profiling result from isolate-0x140008000-75619-v8.log, (20595 ticks, 18236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    703    3.4%          /Users/pliffdax/.nvm/versions/node/v22.16.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  Builtin: FastNewClosure
      4    0.0%    0.0%  Builtin: CompileLazy
      4    0.0%    0.0%  Builtin: Call_ReceiverIsAny
      4    0.0%    0.0%  Builtin: CallFunctionTemplate_Generic
      4    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
      3    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      3    0.0%    0.0%  RegExp: ^(?:\/swagger\/swagger\/swagger-ui-init\.js)(?:\/$)?$
      3    0.0%    0.0%  RegExp: ^(?:\/swagger\/LICENSE)(?:\/$)?$
      3    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      3    0.0%    0.0%  JS: ^urlencodedParser /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/body-parser@2.2.1/node_modules/body-parser/lib/types/urlencoded.js:57:36
      3    0.0%    0.0%  JS: ^sa /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:7515
      3    0.0%    0.0%  JS: ^next /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/router@2.2.0/node_modules/router/index.js:188:17
      3    0.0%    0.0%  JS: ^l /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:9346
      3    0.0%    0.0%  JS: ^getTimerDuration node:internal/timers:402:26
      3    0.0%    0.0%  JS: ^_storeHeader node:_http_outgoing:454:22
      3    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:9863
      3    0.0%    0.0%  JS: *wt /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:21:34984
      3    0.0%    0.0%  JS: *write_ node:_http_outgoing:942:16
      3    0.0%    0.0%  JS: *writeOrBuffer node:internal/streams/writable:548:23
      3    0.0%    0.0%  JS: *get /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/rxjs@7.8.2/node_modules/rxjs/dist/cjs/index.js:64:82
      3    0.0%    0.0%  JS: *formatWithOptionsInternal node:internal/util/inspect:2283:35
      3    0.0%    0.0%  JS: *entitytag /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/etag@1.8.1/node_modules/etag/index.js:39:20
      3    0.0%    0.0%  JS: *endReadable node:internal/streams/readable:1682:21
      3    0.0%    0.0%  JS: *cors /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:159:16
      3    0.0%    0.0%  JS: *configureOrigin /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:36:27
      3    0.0%    0.0%  JS: *clearBuffer node:internal/streams/writable:744:21
      3    0.0%    0.0%  JS: *checkError node:internal/streams/destroy:33:20
      3    0.0%    0.0%  JS: *append /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/vary@1.1.2/node_modules/vary/index.js:38:17
      3    0.0%    0.0%  JS: *_send node:_http_outgoing:398:49
      3    0.0%    0.0%  JS: *Ze /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:2433
      3    0.0%    0.0%  JS: *Writable.write node:internal/streams/writable:504:36
      3    0.0%    0.0%  JS: *Readable.read node:internal/streams/readable:647:35
      3    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+platform-express@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-me_03207ebf30d973e3fd35b79535ee468c/node_modules/@nestjs/platform-express/adapters/express-adapter.js:24:27
      3    0.0%    0.0%  Builtin: StringPrototypeReplace
      3    0.0%    0.0%  Builtin: ObjectValues
      3    0.0%    0.0%  Builtin: ObjectKeys
      3    0.0%    0.0%  Builtin: LoadGlobalICBaseline
      3    0.0%    0.0%  Builtin: JSBuiltinsConstructStub
      3    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
      3    0.0%    0.0%  Builtin: GreaterThan_Baseline
      3    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
      3    0.0%    0.0%  Builtin: CallBoundFunction
      3    0.0%    0.0%  Builtin: AsyncFunctionAwaitUncaught
      3    0.0%    0.0%  Builtin: AsyncFunctionAwaitCaught
      3    0.0%    0.0%  Builtin: ArrayPrototypePop
      3    0.0%    0.0%  Builtin: ArrayIndexOfSmiOrObject
      3    0.0%    0.0%  Builtin: Add_Baseline
      2    0.0%    0.0%  RegExp: ^(?:\/users)(?:\/$)?$
      2    0.0%    0.0%  RegExp: ^(?:\/roles\/([^\/]+))(?:\/$)?$
      2    0.0%    0.0%  RegExp: ^(?:\/roles)(?:\/$)?$
      2    0.0%    0.0%  RegExp: ^(?:\/profiles\/user\/([^\/]+))(?:\/$)?$
      2    0.0%    0.0%  RegExp: ^(?:\/profiles\/delete\/([^\/]+))(?:\/$)?$
      2    0.0%    0.0%  RegExp: ^(?:\/profiles)(?:\/$)?$
      2    0.0%    0.0%  RegExp: ^(?:\/)(?:\/$)?$
      2    0.0%    0.0%  RegExp: [.+?^${}()|[\]\\]
      2    0.0%    0.0%  JS: ^yt /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:21:1007
      2    0.0%    0.0%  JS: ^slowCases node:internal/util:232:19
      2    0.0%    0.0%  JS: ^set node:internal/streams/readable:133:8
      2    0.0%    0.0%  JS: ^send /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/response.js:123:25
      2    0.0%    0.0%  JS: ^resetBuffer node:internal/streams/writable:364:21
      2    0.0%    0.0%  JS: ^removeAllListeners node:events:742:32
      2    0.0%    0.0%  JS: ^refresh node:internal/timers:215:10
      2    0.0%    0.0%  JS: ^readStream /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/raw-body@3.0.2/node_modules/raw-body/index.js:155:21
      2    0.0%    0.0%  JS: ^processPromiseRejections node:internal/process/promises:439:34
      2    0.0%    0.0%  JS: ^parseEngineResponse /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:112:136
      2    0.0%    0.0%  JS: ^parse /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/content-type@1.0.5/node_modules/content-type/index.js:106:16
      2    0.0%    0.0%  JS: ^onwrite node:internal/streams/writable:615:17
      2    0.0%    0.0%  JS: ^once node:events:651:44
      2    0.0%    0.0%  JS: ^onEofChunk node:internal/streams/readable:788:20
      2    0.0%    0.0%  JS: ^next node:internal/per_context/primordials:331:9
      2    0.0%    0.0%  JS: ^nestSelection /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:11217
      2    0.0%    0.0%  JS: ^login /Users/pliffdax/Projects/university/uniform-api/dist/StaticData/auth/auth.service.js:94:16
      2    0.0%    0.0%  JS: ^isFunction /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/rxjs@7.8.2/node_modules/rxjs/dist/cjs/internal/util/isFunction.js:4:20
      2    0.0%    0.0%  JS: ^handle /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/router@2.2.0/node_modules/router/index.js:149:43
      2    0.0%    0.0%  JS: ^getRawBody /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/raw-body@3.0.2/node_modules/raw-body/index.js:68:21
      2    0.0%    0.0%  JS: ^get /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:2365
      2    0.0%    0.0%  JS: ^findAll /Users/pliffdax/Projects/university/uniform-api/dist/StaticData/categories/categories.controller.js:24:12
      2    0.0%    0.0%  JS: ^end node:_http_outgoing:1084:45
      2    0.0%    0.0%  JS: ^enabled /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:3:5881
      2    0.0%    0.0%  JS: ^doWrite node:internal/streams/writable:587:17
      2    0.0%    0.0%  JS: ^_request /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:8912
      2    0.0%    0.0%  JS: ^Writable.cork node:internal/streams/writable:513:35
      2    0.0%    0.0%  JS: ^ReadableState node:internal/streams/readable:262:23
      2    0.0%    0.0%  JS: ^Readable.on node:internal/streams/readable:1127:33
      2    0.0%    0.0%  JS: ^InternalDecoder.write /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/iconv-lite@0.7.0/node_modules/iconv-lite/encodings/internal.js:53:44
      2    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:219:57
      2    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:5745
      2    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-execution-context.js:40:16
      2    0.0%    0.0%  JS: *yt /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:21:1007
      2    0.0%    0.0%  JS: *write node:buffer:635:12
      2    0.0%    0.0%  JS: *wrappedFn node:internal/errors:535:21
